codTrafo,dirTrafo,latTrafo,lngTrafo,potencia,potenciaDisponible,potenciaSoliAprobadas,potenciaNeta,demandaEnergiaUno,energiaEntregarHora,energiaDisponible,pctPotencia,pctEnergia,fases,codCircuito,circuito,codSubE,codBarrio,codCiudad,codPropietario,formTrafo,nodoTrafo,codTrafoDis,codigoTipoApoyo,demandaEnergiaDos,energiaEntregarHoraPico
P120,RVIA JAM HDA CASTILL          0,3.289247,-76.524439,15,7.5,0,7.5,4.4,0,4.4,0.0,0.0,3,24 304,4,24 ,001,01,P,NIVELII,1172026,13029,01,4.4,0
P8182,RVIA CALI-JAMUNDI - LA MAZORCA0,3.296529,-76.522514,30,15.0,0,15.0,8.8,0,8.8,0.0,0.0,2,24 304,4,24 ,001,01,P,NIVELII,5263956,13022,01,8.8,0
P12701,K168        18      250                          0,3.289932,-76.542592,112.5,56.25,0,56.25,31.24,0,31.24,0.0,0.0,3,20 305,5,20 ,001,01,P,,2221381,23682,01,31.7,0
P3558,R HDA LA GLORIA               0,3.298591,-76.518526,30,15.0,0,15.0,8.8,0,8.8,0.0,0.0,2,24 304,4,24 ,001,01,P,NIVELII,1172522,13002,01,8.8,0
E17465,RC. R. LA PRADERA UNO                            0,3.275704,-76.515112,112.5,56.25,0,56.25,33,0,33.0,0.0,0.0,3,24 304,4,24 ,001,01,E,,6762999,21681,01,33,0
P11059,C 18       168       16                          -,3.296261,-76.543757,30,15.0,0,15.0,8.33,0,8.33,0.0,0.0,3,20 305,5,20 ,001,01,P,,6762425,19517,01,8.45,0
P11902,C 18       168      140                          -,3.299228,-76.547162,150,75.0,0,75.0,41.65,0,41.65,0.0,0.0,3,20 305,5,20 ,001,01,P,,2004127,21833,01,42.26,0
P13888,R INRAVISION PTO TEJADA- VIA LAS VERANERAS CARCEL2,3.261636,-76.506067,300,150.0,0,150.0,105.47,0,105.47,0.0,0.0,3,22 302,2,22 ,001,01,2,,2393620,26616,07,105.47,0
P8677,RVIA CALI JAMUNDI             0,3.298958,-76.520545,112.5,56.25,0,56.25,33,0,33.0,0.0,0.0,3,24 304,4,24 ,001,01,P,NIVELII,5014603,13001,01,33,0
P11443,RCALEJON LA GLORIA-LUDWING PRADA                --,3.299507,-76.512503,15,7.5,0,7.5,4.4,0,4.4,0.0,0.0,2,24 304,4,24 ,001,01,P,,1475487,24608,01,4.4,0
E16622,,3.275555,-76.513283,112.5,56.25,0,56.25,33,0,33.0,0.0,0.0,3,24 304,4,24 ,001,01,E,,6762921,19057,01,33,0
E15670,,3.276295,-76.518953,112.5,56.25,0,56.25,33,0,33.0,0.0,0.0,3,24 304,4,24 ,001,01,E,,6468144,17612,07,33,0
E16568,,3.292355,-76.545092,45,22.5,0,22.5,12.49,0,12.49,0.0,0.0,3,20 305,5,20 ,001,01,E,,1810553,20518,01,12.68,0
E16617,,3.275441,-76.514349,112.5,56.25,0,56.25,33,0,33.0,0.0,0.0,3,24 304,4,24 ,001,01,E,,6762956,18773,01,33,0
E16284,,3.275652,-76.519061,112.5,56.25,1,55.25,33,0,33.0,1.7777777777777777,0.0,3,24 304,4,24 ,001,01,E,,6468136,17613,07,33,0
E10817,,3.296621,-76.5116,25,12.5,0,12.5,7.33,0,7.33,0.0,0.0,2,24 304,4,24 ,001,01,E,,6595171,24641,01,7.33,0
E510611,,3.290739,-76.523979,10,5.0,0,5.0,2.93,0,2.93,0.0,0.0,2,24 304,4,24 ,001,01,E,NIVELII,1432907,19412,01,2.93,0
E16641,,3.275535,-76.514785,112.5,56.25,0,56.25,33,0,33.0,0.0,0.0,3,24 304,4,24 ,001,01,E,,6762972,18772,01,33,0
P14310,RVIA JAMUNDI ESTADERO EL ENCANTO                 -,3.293948,-76.522802,45,22.5,0,22.5,13.2,0,13.2,0.0,0.0,3,24 304,4,24 ,001,01,2,,6740847,27267,01,13.2,0
E20263,RVIA A JAMUNDI FINCA JAIRO EDILBER GOMEZ         0,3.295672,-76.511714,45,22.5,0,22.5,13.2,0,13.2,0.0,0.0,3,24 304,4,24 ,001,01,2,,5398002,27175,01,13.2,0
P7015,RVIA JAMUNDI                  0,3.289723,-76.522493,30,15.0,0,15.0,8.8,0,8.8,0.0,0.0,3,24 304,4,24 ,001,01,P,NIVELII,5169682,13028,01,8.8,0
P2708,R VIA JAMUNDI                 0,3.298224,-76.522121,30,15.0,0,15.0,8.8,0,8.8,0.0,0.0,2,24 304,4,24 ,001,01,P,NIVELII,1163949,13006,01,8.8,0
P14153,,3.291443,-76.545351,112.5,56.25,0,56.25,31.24,0,31.24,0.0,0.0,3,20 305,5,20 ,001,01,2,,1810642,27788,01,31.7,0
E15673,,3.276747,-76.517506,150,75.0,0,75.0,44.01,0,44.01,0.0,0.0,3,24 304,4,24 ,001,01,E,,6468322,17611,07,44.01,0
P4671,RVIA A JAMUNDI                0,3.293866,-76.522558,15,7.5,0,7.5,4.4,0,4.4,0.0,0.0,3,24 304,4,24 ,001,01,P,NIVELII,5012244,13024,01,4.4,0
P11452,RCASA LUZ ARBOLEDA DE VILLEGAS                   -,3.291139,-76.54546,30,15.0,0,15.0,8.33,0,8.33,0.0,0.0,3,20 305,5,20 ,001,01,P,,1475819,19518,01,8.45,0
P6972,RANTENA RADIO-TV NACIONAL DE COLOMBIA            0,3.261663,-76.50553,500,250.0,0,250.0,175.78,0,175.78,0.0,0.0,3,22 302,2,22 ,001,01,P,NIVELII,5139627,13064,02,175.78,0
P4010,R HDA LA TRUJA                0,3.296798,-76.538417,15,7.5,0,7.5,4.4,0,4.4,0.0,0.0,2,24 304,4,24 ,001,01,P,NIVELII,1248529,13049,01,4.4,0
P5210,RHDA EL CASTILLO              0,3.286376,-76.524899,50,25.0,0,25.0,14.67,0,14.67,0.0,0.0,3,24 304,4,24 ,001,01,P,NIVELII,5043492,13030,01,14.67,0
P9310,R EL ASOMBRO                  0,3.290393,-76.511901,15,7.5,0,7.5,4.4,0,4.4,0.0,0.0,2,24 304,4,24 ,001,01,P,NIVELII,1248553,13025,01,4.4,0
P8452,RVIA PTO TEJADA HDA VENECIA   2,3.292797,-76.474368,75,37.5,0,37.5,26.37,0,26.37,0.0,0.0,3,22 302,2,22 ,001,01,P,NIVELII,5280222,13134,01,26.37,0
P495,R HDA COLINDRE                0,3.268408,-76.480333,50,25.0,0,25.0,17.58,0,17.58,0.0,0.0,3,22 302,2,22 ,001,01,P,NIVELII,1257994,13054,01,17.58,0
P486,R HDA BONANZA                 0,3.271417,-76.477567,30,15.0,0,15.0,10.55,0,10.55,0.0,0.0,2,22 302,2,22 ,001,01,P,NIVELII,1257978,13053,01,10.55,0
E19118,RSERVICIOS AUXILIARES S/E. CIUDAD DEL SUR        2,3.274596,-76.450481,45,22.5,0,22.5,11.69,0,11.69,0.0,0.0,3,24 531,31,24 ,001,01,E,,2215721,24065,01,11.69,0
P9808,R LA SAMARIA                  0,3.274864,-76.459672,225,112.5,0,112.5,79.1,0,79.1,0.0,0.0,3,22 302,2,22 ,001,01,P,NIVELII,1145509,16031,01,79.1,0
P14471,RHDA LA BONANZA - VEREDA BOCAS DEL PALO JAMUNDI  2,3.269982,-76.477436,150,75.0,0,75.0,52.74,0,52.74,0.0,0.0,3,22 302,2,22 ,001,01,2,,2573326,27654,01,52.74,0
P12661,RHDA. SUIZA CAICEDO - KM2 PTE RIO CAUCA PTO. TEJA2,3.285366,-76.462143,5,2.5,0,2.5,1.76,0,1.76,0.0,0.0,2,22 302,2,22 ,001,01,P,NIVELII,2194082,23627,01,1.76,0
P4651,RHDA VENECIA                  0,3.290789,-76.47656,10,5.0,0,5.0,3.52,0,3.52,0.0,0.0,2,22 302,2,22 ,001,01,P,NIVELII,5027772,13136,01,3.52,0
P13388,RPTAR CIUDAD DEL SUR - KM.5 VIA P.TJDA K23 88B-152,3.275606,-76.451285,225,112.5,0,112.5,193.6,0,193.6,0.0,0.0,3,25 301,1,25 ,001,01,P,,2224178,25616,01,199.46,0
P2329,R HDA COLINDRE                0,3.277903,-76.486772,15,7.5,0,7.5,5.27,0,5.27,0.0,0.0,2,22 302,2,22 ,001,01,P,NIVELII,1258052,13062,01,5.27,0
P8997,RFINCA BONANZA REF MADRE VIEJA0,3.274235,-76.47541,112.5,56.25,0,56.25,39.55,0,39.55,0.0,0.0,3,22 302,2,22 ,001,01,P,NIVELII,5305152,13052,01,39.55,0
P8955,RANT VIA PTO TEJADA BOCAS DEL 2,3.253634,-76.452123,45,22.5,0,22.5,15.82,0,15.82,0.0,0.0,3,22 302,2,22 ,001,01,P,NIVELII,5304521,13161,01,15.82,0
P9019,FABRICA DE BLOQUES,3.286797,-76.472449,1000,500.0,0,500.0,259.89,0,259.89,0.0,0.0,3,24 531,31,24 ,001,01,P,NIVELII,5305021,17045,02,259.89,0
P9316,R LA FELISA                   0,3.280758,-76.463533,50,25.0,0,25.0,17.58,0,17.58,0.0,0.0,2,22 302,2,22 ,001,01,P,NIVELII,1145487,13066,01,17.58,0
P4650,RHDA VENECIA                  0,3.291307,-76.476039,10,5.0,0,5.0,3.52,0,3.52,0.0,0.0,2,22 302,2,22 ,001,01,P,NIVELII,5128374,13135,01,3.52,0
E18565,R BOCAS DEL PALO              0,3.25733,-76.452052,50,25.0,0,25.0,17.58,0,17.58,0.0,0.0,2,22 302,2,22 ,001,01,E,NIVELII,1145592,23807,01,17.58,0
P12852,RAVICOLA LA CABANITA-BOCAS DEL PALO - 1.2KM PTE.H2,3.253208,-76.451821,112.5,56.25,0,56.25,39.55,0,39.55,0.0,0.0,3,22 302,2,22 ,001,01,P,,2232448,24365,01,39.55,0
E21113,R BOCAS DEL PALO              0,3.260778,-76.458058,25,12.5,0,12.5,8.79,0,8.79,0.0,0.0,2,22 302,2,22 ,001,01,1,NIVELII,1145576,27941,01,8.79,0
E20212,R LA CASILDA                  0,3.271857,-76.458626,25,12.5,0,12.5,8.79,0,8.79,0.0,0.0,2,22 302,2,22 ,001,01,1,NIVELII,1145517,27178,01,8.79,0
P1262,R HDA EL SOCORRO              0,3.262899,-76.433258,30,15.0,0,15.0,10.55,0,10.55,0.0,0.0,3,22 302,2,22 ,001,01,P,NIVELII,1151177,13170,01,10.55,0
P943,R HDA EL SOCORRO              0,3.262131,-76.419781,125,62.5,0,62.5,43.95,0,43.95,0.0,0.0,3,22 302,2,22 ,001,01,P,NIVELII,1151193,13173,02,43.95,0
P2769,R    INGENIO BENGALA          2,3.263332,-76.413652,150,75.0,0,75.0,52.74,0,52.74,0.0,0.0,3,22 302,2,22 ,001,01,P,NIVELII,1151258,13175,01,52.74,0
E20155,C 88        22       33                          2,3.275591,-76.448652,75,37.5,0,37.5,64.53,0,64.53,0.0,0.0,3,25 301,1,25 ,001,01,E,,2231174,24342,01,66.49,0
P3680,R HDA YOLANDA                 0,3.282459,-76.418628,112.5,56.25,0,56.25,39.55,0,39.55,0.0,0.0,3,22 302,2,22 ,001,01,P,NIVELII,1150758,13147,02,39.55,0
P2950,RINGENIO BENGALA - CENTRAL CASTILLA              -,3.252799,-76.411465,125,62.5,0,62.5,43.95,0,43.95,0.0,0.0,3,22 302,2,22 ,001,01,P,NIVELII,1151291,13174,01,43.95,0
P55466,RINGENIO BENGALA - CENTRAL CASTILLA              2,3.263393,-76.41054,125,62.5,0,62.5,43.95,0,43.95,0.0,0.0,3,22 302,2,22 ,001,01,P,NIVELII,1151282,13176,02,43.95,0
P9405,RAGRICOLA SAN CAMILO                             0,3.28923,-76.425032,125,62.5,0,62.5,43.95,0,43.95,0.0,0.0,3,22 302,2,22 ,001,01,P,NIVELII,1150855,13146,02,43.95,0
E20157,RT12 CIUDAD DEL SUR-KM12 VIA PTO TJDA C88A #22B420,3.276025,-76.449037,75,37.5,0,37.5,64.53,0,64.53,0.0,0.0,3,25 301,1,25 ,001,01,E,,2315408,24832,01,66.49,0
E20148,C 22        85B      15                          2,3.273002,-76.447304,75,37.5,0,37.5,64.53,0,64.53,0.0,0.0,3,25 301,1,25 ,001,01,E,,2214245,23347,01,66.49,0
P12035,RPOZO HACIENDA CENIT PTO TEJADA                  2,3.281835,-76.427125,112.5,56.25,0,56.25,39.55,0,39.55,0.0,0.0,3,22 302,2,22 ,001,01,P,,2101904,21453,01,39.55,0
P14013,RPOZO HDA SANTANDER ARBOLEDA KM13 A PTO TEJ 2    -,3.265257,-76.446803,112.5,56.25,0,56.25,29.24,0,29.24,0.0,0.0,3,24 531,31,24 ,001,01,2,,2409771,26651,02,29.24,0
P12337,RPOZO HACIENDA LA SUIZA II - VIA PUERTO TEJADA   -,3.281184,-76.435944,150,75.0,0,75.0,52.74,0,52.74,0.0,0.0,3,22 302,2,22 ,001,01,P,,2189615,22469,02,52.74,0
E20161,,3.276923,-76.449397,75,37.5,0,37.5,64.53,0,64.53,0.0,0.0,3,25 301,1,25 ,001,01,E,,2317681,24837,01,66.49,0
P8580,VIA HACIENDA SANTANDER 2,3.265664,-76.445929,15,7.5,0,7.5,3.9,0,3.9,0.0,0.0,2,24 531,31,24 ,001,01,P,NIVELII,5283116,9234,01,3.9,0
P13391,RPTA PTAP CIUDAD DEL SUR - CL.85C 22-59          2,3.273019,-76.447889,150,75.0,0,75.0,129.07,0,129.07,0.0,0.0,3,25 301,1,25 ,001,01,P,,2215802,25615,02,132.97,0
E20164,RT17- CIUDAD DEL SUR KM12 PTOTEJADA - CL89C 2B-360,3.277484,-76.449509,75,37.5,0,37.5,64.53,0,64.53,0.0,0.0,3,25 301,1,25 ,001,01,E,,2317575,25109,01,66.49,0
E20163,RT16A CIUDAD DEL SUR KM12 PTO TEJADA-CL89B 22A-450,3.277293,-76.448782,45,22.5,0,22.5,38.72,0,38.72,0.0,0.0,3,25 301,1,25 ,001,01,E,,2317885,24839,01,39.89,0
P12653,R HDA EL CENIT VIA PTO TEJADA KM2 PTE RI CAUCA   2,3.298173,-76.43057,112.5,56.25,0,56.25,39.55,0,39.55,0.0,0.0,3,22 302,2,22 ,001,01,P,NIVELII,1150928,23379,02,39.55,0
P2512,R HDA YOLANDA                 0,3.295879,-76.410644,75,37.5,0,37.5,26.37,0,26.37,0.0,0.0,2,22 302,2,22 ,001,01,P,NIVELII,1150774,13151,01,26.37,0
P2334,R HDA LA SUIZA                0,3.289802,-76.448656,30,15.0,0,15.0,10.55,0,10.55,0.0,0.0,3,22 302,2,22 ,001,01,P,NIVELII,1150600,13137,01,10.55,0
P460,R HDA EL DARIEN               0,3.29821,-76.407012,10,5.0,0,5.0,3.52,0,3.52,0.0,0.0,2,22 302,2,22 ,001,01,P,NIVELII,1150723,13154,02,3.52,0
P4339,R HDA YOLANDA                 0,3.299596,-76.415789,15,7.5,0,7.5,5.27,0,5.27,0.0,0.0,2,22 302,2,22 ,001,01,P,NIVELII,1257951,13153,01,5.27,0
P14120,K 22        89A      00                          2,3.276998,-76.447944,45,22.5,0,22.5,38.72,0,38.72,0.0,0.0,3,25 301,1,25 ,001,01,2,,2317974,26931,01,39.89,0
P2507,R HDA EL ESPEJO               0,3.28641,-76.40837,15,7.5,0,7.5,5.27,0,5.27,0.0,0.0,2,22 302,2,22 ,001,01,P,NIVELII,1150715,13156,01,5.27,0
E20160,,3.276541,-76.449362,75,37.5,0,37.5,64.53,0,64.53,0.0,0.0,3,25 301,1,25 ,001,01,E,,2317737,24836,01,66.49,0
E20152,C 87A       22      103                          2,3.274643,-76.448501,112.5,56.25,0,56.25,96.8,0,96.8,0.0,0.0,3,25 301,1,25 ,001,01,E,,2214211,24543,01,99.73,0
E19532,,3.276237,-76.44928,75,37.5,0,37.5,64.53,0,64.53,0.0,0.0,3,25 301,1,25 ,001,01,E,,2315483,25644,01,66.49,0
P8175,RHDA EL ASOMBRO - PTO TEJADA  2,3.291781,-76.418218,15,7.5,0,7.5,5.27,0,5.27,0.0,0.0,2,22 302,2,22 ,001,01,P,NIVELII,5255538,13149,01,5.27,0
E20150,C 22        86A      15                          2,3.274061,-76.447495,112.5,56.25,0,56.25,96.8,0,96.8,0.0,0.0,3,25 301,1,25 ,001,01,E,,2214229,23348,01,99.73,0
E20151,C087       022       65                          2,3.274382,-76.448186,75,37.5,0,37.5,64.53,0,64.53,0.0,0.0,3,25 301,1,25 ,001,01,E,,2214202,24539,01,66.49,0
P7041,PLANTA  BOMBEO POSO#2,3.259958,-76.403886,150,75.0,0,75.0,73.06,0,73.06,0.0,0.0,3,22 301,1,22 ,001,01,P,NIVELII,5174490,10524,01,73.06,0
E20645,C 22        86       15                          2,3.273324,-76.44736,112.5,56.25,0,56.25,96.8,0,96.8,0.0,0.0,3,25 301,1,25 ,001,01,1,,2214237,27891,01,99.73,0
E20162,RT16 CIUDAD DEL SUR KM12 PTO TEJADA CL.89B 22B-490,3.277124,-76.449684,45,22.5,0,22.5,38.72,0,38.72,0.0,0.0,3,25 301,1,25 ,001,01,E,,2317613,24838,01,39.89,0
E1228,R HDA LA SUIZA                0,3.290206,-76.44153,37.5,18.75,0,18.75,13.18,0,13.18,0.0,0.0,2,22 302,2,22 ,001,01,E,NIVELII,1150634,13139,01,13.18,0
E20156,RT11-CIUDAD DEL SUR-KM12 PTO TEJADA CL.88 #22B42 0,3.275699,-76.449019,30,15.0,0,15.0,25.81,0,25.81,0.0,0.0,3,25 301,1,25 ,001,01,E,,2315335,24833,01,26.59,0
P2432,R HDA CENIT                   0,3.290761,-76.428731,15,7.5,0,7.5,5.27,0,5.27,0.0,0.0,2,22 302,2,22 ,001,01,P,NIVELII,1150880,13145,01,5.27,0
P2483,R HDA YOLANDA                 0,3.291549,-76.414706,15,7.5,0,7.5,5.27,0,5.27,0.0,0.0,2,22 302,2,22 ,001,01,P,NIVELII,1150812,13150,01,5.27,0
E20147,C 22        85       15                          2,3.272358,-76.447192,45,22.5,0,22.5,38.72,0,38.72,0.0,0.0,3,25 301,1,25 ,001,01,E,,2214253,24538,01,39.89,0
P14535,RKM14 PTO TEJADA SECTOR TROCADERO HDA EL SOCORRO 2,3.261881,-76.419867,150,75.0,0,75.0,52.74,0,52.74,0.0,0.0,3,22 302,2,22 ,001,01,2,,2589559,27838,01,52.74,0
P2472,R HDA EL SOCORRO              0,3.262131,-76.419781,25,12.5,0,12.5,8.79,0,8.79,0.0,0.0,2,22 302,2,22 ,001,01,P,NIVELII,1151193,13172,02,8.79,0
P8840,TROCADERO,3.25947,-76.427686,112.5,56.25,0,56.25,29.24,0,29.24,0.0,0.0,3,24 531,31,24 ,001,01,P,NIVELII,5297974,9235,02,29.24,0
P9839,RINCAUCA HACIENDA LA SUIZA                       -,3.289608,-76.433698,150,75.0,0,75.0,52.74,0,52.74,0.0,0.0,3,22 302,2,22 ,001,01,P,NIVELII,1150642,13140,02,52.74,0
P3171,R HDA  YOLANDA                0,3.282268,-76.418681,10,5.0,0,5.0,3.52,0,3.52,0.0,0.0,2,22 302,2,22 ,001,01,P,NIVELII,1257943,13148,01,3.52,0
P5232,RHDA LA SUIZA                 0,3.288314,-76.449304,112.5,56.25,0,56.25,39.55,0,39.55,0.0,0.0,3,22 302,2,22 ,001,01,P,NIVELII,5042488,13138,01,39.55,0
E20159,C 88B       22       35                          2,3.276365,-76.448581,45,22.5,0,22.5,38.72,0,38.72,0.0,0.0,3,25 301,1,25 ,001,01,E,,2315441,24835,01,39.89,0
E20165,C 87B       22       60                          2,3.274914,-76.448804,112.5,56.25,0,56.25,96.8,0,96.8,0.0,0.0,3,25 301,1,25 ,001,01,E,,2231191,24392,01,99.73,0
P8602,PRODESAL DEL CAUCA,3.259266,-76.431677,315,157.5,0,157.5,81.86,0,81.86,0.0,0.0,3,24 531,31,24 ,001,01,P,NIVELII,5285691,9237,01,81.86,0
E20154,K 87C       22       92                          2,3.27523,-76.448793,112.5,56.25,0,56.25,96.8,0,96.8,0.0,0.0,3,25 301,1,25 ,001,01,E,,2231182,24393,01,99.73,0
P12096,RPOZO #12 HACIENDA FLORENCIA - PTO TEJADA        2,3.281452,-76.398429,150,75.0,0,75.0,52.74,0,52.74,0.0,0.0,3,22 302,2,22 ,001,01,P,,2102072,22258,01,52.74,0
P3176,R HDA EL ESPEJO               0,3.292065,-76.398878,112.5,56.25,0,56.25,39.55,0,39.55,0.0,0.0,3,22 302,2,22 ,001,01,P,NIVELII,1150693,13157,02,39.55,0
P9551,POSO LIMONCILLO HACIENDA BOLIVAR,3.253476,-76.396408,150,75.0,0,75.0,73.06,0,73.06,0.0,0.0,3,22 301,1,22 ,001,01,P,NIVELII,1235478,10525,02,73.06,0
P3900,R ESTABLO LA CAMPANE          0,3.321942,-76.628143,15,7.5,0,7.5,3.49,0,3.49,0.0,0.0,2,20 306,6,20 ,001,01,P,NIVELII,1138537,13603,01,4.6,0
P2217,R TOPACIO CVC                 0,3.31746,-76.632849,15,7.5,0,7.5,3.49,0,3.49,0.0,0.0,2,20 306,6,20 ,001,01,P,NIVELII,1138502,13606,01,4.6,0
E58359,R CARRET A PANCE              0,3.329087,-76.616706,25,12.5,0,12.5,5.82,0,5.82,0.0,0.0,2,20 306,6,20 ,001,01,E,NIVELII,1138359,13589,01,7.67,0
P59531,R FCA LAS GUACAS              0,3.325363,-76.632129,15,7.5,0,7.5,3.49,0,3.49,0.0,0.0,2,20 306,6,20 ,001,01,P,NIVELII,1172433,13613,01,4.6,0
